brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
Hyundai,Tucson,2022,Automatic,35168,Diesel,3499,20.1,1.4,909026.87
Honda,Amaze,2009,Automatic,1170,CNG,6419,16.7,1.5,415797.04
Maruti,Brezza,2024,Manual,11219,Petrol,12822,20.0,1.5,883153.05
Hyundai,i20,2010,Automatic,99659,Diesel,33210,31.2,1.2,230408.64
Toyota,Yaris,2016,Manual,53784,Petrol,4271,20.9,1.5,897217.84
Toyota,Yaris,2011,Manual,170754,CNG,13830,30.4,1.2,173766.87
Hyundai,i20,2015,Automatic,119192,Diesel,33783,23.4,1.2,330681.9
Maruti,Swift,2014,Manual,65273,Petrol,28541,25.6,2.0,288200.25
Honda,Jazz,2008,Automatic,143585,CNG,30208,23.7,1.5,120000.0
Maruti,Dzire,2019,Automatic,104415,Hybrid,34009,28.7,1.6,668343.69
Maruti,Baleno,2021,Manual,94631,Petrol,15376,14.4,1.2,565280.65
Maruti,Brezza,2012,Manual,166465,Petrol,32999,23.2,1.5,120000.0
Honda,CR-V,2009,Automatic,24103,Petrol,28128,14.1,1.5,420351.58
Toyota,RAV4,2014,Automatic,142844,Petrol,28630,28.9,1.0,620058.85
Honda,Civic,2012,Automatic,54463,Petrol,11312,21.4,1.4,419091.49
Ford,Focus,2019,Manual,66892,Petrol,34920,15.9,1.0,700950.69
Toyota,Yaris,2012,Manual,150074,Diesel,17130,31.7,1.6,516923.52
Honda,Jazz,2024,Automatic,139474,Petrol,13958,28.0,1.8,979465.47
Ford,Fiesta,2013,Automatic,72385,Hybrid,580,21.3,1.5,553124.81
Hyundai,i20,2008,Manual,184458,Petrol,11937,12.5,1.4,120000.0
Toyota,Camry,2014,Automatic,122588,Hybrid,9129,31.9,1.5,764995.81
Honda,Civic,2016,Manual,197467,Diesel,27295,24.1,1.8,513703.07
Honda,Civic,2015,Automatic,128170,Diesel,32904,31.4,1.8,519609.64
Toyota,Camry,2023,Automatic,4958,Petrol,11388,26.4,1.8,1321620.96
Honda,Civic,2008,Manual,140356,Petrol,8539,31.4,1.8,210439.82
Honda,Jazz,2009,Manual,147494,Diesel,6833,25.9,1.0,120000.0
Honda,CR-V,2010,Automatic,218806,Petrol,33387,30.1,1.8,158977.29
Maruti,Dzire,2008,Manual,42809,Petrol,11092,13.7,1.0,120000.0
Ford,Focus,2010,Manual,135686,Petrol,12552,15.6,1.8,120000.0
Ford,Fiesta,2018,Automatic,65935,Diesel,28353,29.1,1.2,520843.43
Maruti,Brezza,2014,Manual,143342,Hybrid,27852,29.6,1.8,202253.52
Toyota,Camry,2024,Manual,79881,Hybrid,11432,28.2,1.5,1181145.04
Hyundai,Creta,2019,Automatic,12318,Petrol,14397,25.4,1.5,873180.1
Honda,CR-V,2012,Manual,94800,Petrol,14313,13.8,1.5,335600.44
Ford,Focus,2023,Manual,140781,CNG,25826,22.2,1.6,650179.34
Hyundai,i10,2023,Manual,75871,Petrol,1610,10.9,1.5,1084366.62
Hyundai,Tucson,2019,Manual,177713,Diesel,6062,19.5,1.5,662033.62
Maruti,Brezza,2009,Manual,205422,Petrol,18878,25.0,1.0,120000.0
Toyota,Corolla,2019,Manual,101357,Diesel,28722,23.8,1.4,929685.81
Honda,CR-V,2020,Manual,9532,Petrol,23905,11.6,1.2,1014299.87
Maruti,Baleno,2017,Manual,62726,Hybrid,24251,17.7,1.5,602471.58
Hyundai,i10,2012,Automatic,217920,Hybrid,13020,27.1,1.5,220658.15
Maruti,Brezza,2024,Automatic,53173,Diesel,31589,21.1,1.8,941201.67
Honda,Jazz,2024,Manual,186524,CNG,11175,30.9,1.0,869679.67
Hyundai,Verna,2022,Manual,132934,Petrol,23538,26.6,1.5,816889.58
Maruti,Ciaz,2017,Automatic,13235,CNG,31069,17.7,1.4,659728.1
Toyota,RAV4,2016,Automatic,23145,Diesel,14913,14.9,2.0,1118097.18
Toyota,Prius,2012,Manual,190027,Diesel,28447,30.8,1.8,390918.11
Ford,Mondeo,2011,Manual,106485,Diesel,19544,19.3,1.5,126117.82
Hyundai,i10,2015,Manual,164383,Diesel,8312,18.8,1.6,336699.95
Hyundai,i20,2008,Manual,3661,CNG,1510,29.6,1.6,261578.52
Maruti,Brezza,2010,Automatic,37401,Petrol,24351,20.0,1.0,120000.0
Maruti,Dzire,2023,Automatic,210955,CNG,15947,23.6,1.8,573706.03
Toyota,Yaris,2025,Manual,57929,Petrol,24435,21.8,1.4,1238782.46
Ford,Mondeo,2020,Automatic,200493,Petrol,32918,19.2,1.6,637337.36
Toyota,Yaris,2020,Manual,171294,Petrol,34554,13.3,1.2,791268.0
Maruti,Baleno,2024,Automatic,91845,Petrol,478,11.7,1.0,805500.12
Maruti,Dzire,2012,Automatic,83749,Diesel,15769,12.8,1.6,409289.46
Honda,Amaze,2020,Manual,166782,Hybrid,12535,12.5,1.2,757602.43
Honda,Jazz,2025,Automatic,123845,Diesel,27713,23.0,1.8,1350344.9
Maruti,Ciaz,2021,Automatic,30865,Petrol,34316,23.4,1.5,883544.73
